symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
CUKDCARNIVAL PLC DR,,,,,,,
26.5033.836B—34.63−13.97−13.21—45.918B158.384M14.52%1.46M1.358M1.512M1.748M,,,,,,,
L,,,,,,,
LNDCDLANDEC CORPORATION,,,,,,,
12.78374.874M—0.67−1.54−1.3142.04539.211M29.333M14.52%143.172K107.906K138.803K122.124K,,,,,,,
"NEWRDNEW RELIC, INC.",,,,,,,
63.974.081B—5.89−3.14−3.15—3.554B63.794M14.50%719.702K838.936K730.761K828.082K,,,,,,,
SAPDSAP SE DR,,,,,,,
140.91164.713B26.215.215.344.96—152.527B1.18B14.50%459.383K629.574K810.593K853.359K,,,,,,,
O,,,,,,,
OGIDORGANIGRAM HOLDINGS INC.,,,,,,,
3.24966.274M—12.53−0.92−0.61—717.918M298.233M14.49%9.477M7.601M10.599M19.304M,,,,,,,
U,,,,,,,
"UGDUNITED-GUARDIAN, INC.",,,,,,,
16.0573.734M20.146.710.800.7215.2260.531M4.594M14.48%16.451K12.37K10.085K8.934K,,,,,,,
BF.BDBROWN FORMAN INC,,,,,,,
79.9637.43B42.5711.631.901.7227.6836.015B478.695M14.47%932.136K816.769K954.566K896.102K,,,,,,,
P,,,,,,,
PINGDPING IDENTITY HOLDING CORP.,,,,,,,
24.952.047B—7.88−0.29−0.15187.471.788B82.032M14.45%586.179K856.804K993.972K1.093M,,,,,,,
F,,,,,,,
FSTDFAST ACQUISITION CORP.,,,,,,,
13.00325M——−1.47−0.65—452.483M25M14.44%91.694K137.102K238.05K525.976K,,,,,,,
"UNBDUNION BANKSHARES, INC.",,,,,,,
34.04152.549M11.352.873.012.85—136.89M4.481M14.42%2.11K4.591K4.988K5.443K,,,,,,,
IPDINTERNATIONAL PAPER COMPANY,,,,,,,
63.7324.966B26.241.242.471.229.4030.441B391.739M14.42%3.23M2.844M2.828M3.081M,,,,,,,
CBREDCBRE GROUP INC,,,,,,,
87.7429.451B35.211.252.522.2215.2629.23B335.657M14.41%1.629M1.579M1.589M1.727M,,,,,,,
"LHXDL3HARRIS TECHNOLOGIES, INC.",,,,,,,
218.5544.799B34.602.566.495.1814.4749.411B204.984M14.40%1.091M1.051M1.053M1.163M,,,,,,,
C,,,,,,,
"CNNBDCINCINNATI BANCORP, INC.",,,,,,,
13.7540.876M8.551.811.641.13—72.607M2.973M14.39%2.399K1.562K1.674K1.811K,,,,,,,
P,,,,,,,
"PCOMDPOINTS INTERNATIONAL, LTD.",,,,,,,
17.76264.889M—1.11−0.61−0.437405.21117.307M14.719M14.36%12.822K25.245K19.537K28.881K,,,,,,,
LACDLITHIUM AMERICAS CORP.,,,,,,,
16.491.977B——−0.34−0.42—1.471B119.864M14.36%2.194M2.596M2.913M3.932M,,,,,,,
HMYDHARMONY GOLD MINING COMPANY LIMITED DR,,,,,,,
4.943.068B15.341.340.35−0.104.97—609.669M14.35%5.91M5.834M5.456M5.678M,,,,,,,
R,,,,,,,
RBBDRBB BANCORP,,,,,,,
24.86486.565M12.603.081.971.65—401.866M19.572M14.35%83.929K60.562K50.729K50.501K,,,,,,,
F,,,,,,,
"FLUXDFLUX POWER HOLDINGS, INC.",,,,,,,
11.00145.778M—5.56−1.48−2.80—162.839M13.253M14.35%95.978K117.22K150.604K181.681K,,,,,,,
LBTYBDLIBERTY GLOBAL PLC,,,,,,,
28.8915.454B—1.22−1.95−2.705.6629.615B564.357M14.33%5863.646K2.955K2.249K,,,,,,,
W,,,,,,,
WVFCDWVS FINANCIAL CORP.,,,,,,,
16.4531.299M20.484.050.791.41—144.08M1.903M14.32%9467229071.198K,,,,,,,
UNHDUNITEDHEALTH GROUP INCORPORATED,,,,,,,
400.25377.717B23.061.4817.8216.03—406.507B943.702M14.30%2.354M2.44M2.783M3.059M,,,,,,,
"CHHDCHOICE HOTELS INTERNATIONAL, INC.",,,,,,,
121.016.723B159.609.080.761.3536.446.818B55.561M14.30%312.286K277.346K249.225K254.188K,,,,,,,
P,,,,,,,
PZNDPZENA INVESTMENT MANAGEMENT INC,,,,,,,
12.00870.451M16.146.320.760.5210.31932.17M17.09M14.29%90.182K67.337K75.435K75.943K,,,,,,,
T,,,,,,,
"TLCDTAIWAN LIPOSOME COMPANY, LTD. DR",,,,,,,
5.85242.93M—56.26−0.82−0.84—253.571M42.072M14.26%1.938M657.451K340.528K235.497K,,,,,,,
S,,,,,,,
SCPLDSCIPLAY CORPORATION,,,,,,,
17.882.287B19.170.700.950.862.55520.118M24.384M14.25%204.383K438.629K423.858K578.029K,,,,,,,
W,,,,,,,
"WETFDWISDOMTREE INVESTMENTS, INC.",,,,,,,
6.821.02B—4.30−0.10−0.25354.601.273B149.592M14.24%1.101M1.114M1.008M947.789K,,,,,,,
RSDRELIANCE STEEL & ALUMINUM CO.,,,,,,,
167.5110.672B19.191.229.025.669.2410.949B63.708M14.22%341.418K385.847K395.378K387.768K,,,,,,,
A,,,,,,,
"ANDEDTHE ANDERSONS, INC.",,,,,,,
33.701.135B18.400.121.820.2310.302.992B33.67M14.20%131.828K136.663K141.783K153.588K,,,,,,,
BGDBUNGE LIMITED BUNGE LIMITED,,,,,,,
89.6012.673B6.140.3015.327.495.3320.496B141.434M14.20%1.105M1.186M1.105M1.331M,,,,,,,
DLXDDELUXE CORPORATION,,,,,,,
46.741.973B21.101.142.220.195.372.421B42.202M14.19%231.879K253.925K244.237K272.591K,,,,,,,
"ADIDANALOG DEVICES, INC.",,,,,,,
164.4860.665B39.529.944.233.2820.2160.882B368.827M14.17%2.905M3.849M3.282M3.277M,,,,,,,
TDDTORONTO DOMINION BANK (THE),,,,,,,
72.78132.348B11.533.266.324.82—292.401B1.818B14.16%1.588M1.605M1.73M1.801M,,,,,,,
LDLOEWS CORPORATION,,,,,,,
57.3115.083B—1.19−0.04−3.32—24.135B263.176M14.16%953.144K848.473K904.171K910.213K,,,,,,,
L,,,,,,,
"LMNDDLEMONADE, INC.",,,,,,,
99.016.08B—85.64−2.36−3.63—5.608B61.409M14.13%2.101M2.623M2.416M2.732M,,,,,,,
PMDPHILIP MORRIS INTERNATIONAL INC,,,,,,,
98.56153.609B17.695.245.545.1611.90165.9B1.559B14.13%3.559M3.762M4.473M4.485M,,,,,,,
HGVDHILTON GRAND VACATIONS INC.,,,,,,,
46.313.961B—5.05−2.53−2.36452.164.61B85.542M14.12%615.346K920.427K908.164K912K,,,,,,,
ADMPDADAMIS PHARMACEUTICALS CORPORATION,,,,,,,
1.0500156.33M—5.68−0.62−0.64—45.526M148.886M14.12%18.864M11.207M7.167M9.187M,,,,,,,
WLTWDWILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,,,,,,,
256.9933.146B23.713.5510.967.6613.5233.917B128.977M14.10%1.089M1.051M995.408K983.977K,,,,,,,
I,,,,,,,
IRIXDIRIDEX CORPORATION,,,,,,,
7.38115.318M—2.78−0.48−0.46—78.948M15.626M14.06%60.986K83.103K96.74K143.12K,,,,,,,
O,,,,,,,
OFSDOFS CAPITAL CORPORATION,,,,,,,
9.79131.236M3.293.122.990.2814.93388.718M13.412M14.04%50.962K44.036K50.604K46.975K,,,,,,,
A,,,,,,,
"ARLDAMERICAN REALTY INVESTORS, INC.",,,,,,,
11.94192.855M8.343.681.500.5645.34600.962M16.152M14.04%8.458K6.062K4.48K4.508K,,,,,,,
L,,,,,,,
LJPCDLA JOLLA PHARMACEUTICAL COMPANY,,,,,,,
5.20142.823M—2.91−0.60−1.44—235.151M27.466M14.04%463.532K280.275K250.509K295.458K,,,,,,,
P,,,,,,,
"PRCHDPORCH GROUP, INC.",,,,,,,
19.101.837B——−0.13−2.03—1.327B96.199M14.03%1.565M1.55M1.89M2.168M,,,,,,,
A,,,,,,,
ATEXDANTERIX INC.,,,,,,,
50.02879.669M—821.51−3.19−2.29—556.691M17.586M14.02%85.896K87.274K119.155K163.777K,,,,,,,
"DESPDDESPEGAR.COM, CORP.",,,,,,,
13.83921.569M—10.11−2.19−2.06—831.348M65.091M14.01%569.641K396.756K508.685K488.71K,,,,,,,
"SYNHDSYNEOS HEALTH, INC.",,,,,,,
80.718.339B44.361.971.901.8317.1510.896B104.292M14.01%1.546M1.268M1.077M1.064M,,,,,,,
"TTWODTAKE-TWO INTERACTIVE SOFTWARE, INC.",,,,,,,
184.2621.311B36.306.365.135.0919.9717.471B115.656M14.01%1.179M1.356M1.267M1.374M,,,,,,,
A,,,,,,,
"ARTWDART'S-WAY MANUFACTURING CO., INC.",,,,,,,
3.5015.797M—0.69−0.45−0.48—18.775M4.513M14.01%36.875K30.681K31.246K50.182K,,,,,,,
P,,,,,,,
PCYODPURE CYCLE CORPORATION,,,,,,,
14.18338.982M18.5516.340.790.2845.70262.719M23.906M13.99%47.612K74.28K116.497K106.148K,,,,,,,
T,,,,,,,
"TRHCDTABULA RASA HEALTHCARE, INC.",,,,,,,
42.381.053B—3.25−3.86−3.71—1.409B24.843M13.99%177.776K187.931K220.365K324.629K,,,,,,,
H,,,,,,,
"HIMSDHIMS & HERS HEALTH, INC.",,,,,,,
14.782.835B——−0.01−1.60—1.702B191.802M13.96%1.547M1.437M1.667M2.03M,,,,,,,
"XLNXDXILINX, INC.",,,,,,,
127.7331.401B49.2610.182.642.6232.4830.802B245.84M13.95%1.519M2.089M2.355M2.382M,,,,,,,
W,,,,,,,
"WTRGDESSENTIAL UTILITIES, INC.",,,,,,,
47.5511.68B28.946.741.641.1224.7517.149B245.643M13.95%738.185K745.918K941.546K970.64K,,,,,,,
"BPOPDPOPULAR, INC.",,,,,,,
81.686.583B9.372.658.725.87—6.939B80.594M13.93%572.52K647.761K598.418K593.98K,,,,,,,
B,,,,,,,
BCLIDBRAINSTORM CELL THERAPEUTICS INC.,,,,,,,
3.94143.095M——−0.95−1.07—103.512M36.319M13.87%347.527K383.948K626.104K826.931K,,,,,,,
FOCSDFOCUS FINANCIAL PARTNERS INC.,,,,,,,
53.233.84B366.711.930.160.5712.984.168B55.115M13.81%458.297K425.281K531.506K517.523K,,,,,,,
TGPDTEEKAY LNG PARTNERS L.P.,,,,,,,
15.921.384B7.672.302.080.739.684.259B86.951M13.80%145.446K156.121K173.88K178.502K,,,,,,,
WORXDSCWORX CORP.,,,,,,,
1.6516.549M—3.21−0.75−0.82—20.144M10.029M13.79%108.751K113.446K254.082K723.928K,,,,,,,
A,,,,,,,
"AFBIDAFFINITY BANCSHARES, INC.",,,,,,,
12.8788.451M—2.46———112.846M6.873M13.79%12.899K10.304K9.012K18.683K,,,,,,,
BSTZDBLACKROCK SCIENCE AND TECHNOLOGY TRUST II ETF,,,,,,,
37.962.946B1.9841.0319.0219.021.90—78.09M13.79%108.683K135.502K186.995K209.433K,,,,,,,
KODKDEASTMAN KODAK COMPANY,,,,,,,
8.67680.625M—0.65−6.81−9.77—725.322M78.504M13.78%4.501M2.977M3.367M4.862M,,,,,,,
P,,,,,,,
"PRGDPROG HOLDINGS, INC.",,,,,,,
53.303.59B11.911.044.42−0.917.662.882B67.35M13.77%332.498K543.656K537.02K575.464K,,,,,,,
"MEDPDMEDPACE HOLDINGS, INC.",,,,,,,
170.876.147B40.026.694.473.8424.795.99B35.972M13.75%118.026K192.368K189.609K200.401K,,,,,,,
F,,,,,,,
FSKRDFS KKR CAPITAL CORP. II,,,,,,,
21.843.711B8.07372.942.72−2.20—6.465B169.903M13.75%468.375K451.008K461.364K518.994K,,,,,,,
"LAZRDLUMINAR TECHNOLOGIES, INC.",,,,,,,
24.738.404B——−0.01−1.14—7.499B339.832M13.73%7.054M5.439M5.932M6.024M,,,,,,,
LBTYKDLIBERTY GLOBAL PLC,,,,,,,
27.1115.306B—1.24−1.95−2.705.5427.767B564.357M13.72%2.167M2.025M2.198M2.459M,,,,,,,
"CLDRDCLOUDERA, INC.",,,,,,,
15.874.665B—5.25−0.48−0.54126.473.866B293.979M13.68%13.109M6.107M5.299M5.229M,,,,,,,
N,,,,,,,
NHTCDNATURAL HEALTH TRENDS CORP. - COMMN STOCK,,,,,,,
7.5786.472M55.281.430.150.07−13.59-9.094M11.423M13.66%19.828K33.213K29.581K37.331K,,,,,,,
"PIXYDSHIFTPIXY, INC.",,,,,,,
2.9661.803M—12.83−3.74−5.00—94.761M20.915M13.65%1.518M5.856M3.663M2.62M,,,,,,,
S,,,,,,,
"SASRDSANDY SPRING BANCORP, INC.",,,,,,,
47.222.232B13.964.133.412.18—2.549B47.269M13.65%135.528K143.545K170.618K165.043K,,,,,,,
INFODIHS MARKIT LTD.,,,,,,,
105.8844.866B80.079.901.352.1728.4941.453B423.744M13.64%1.907M2.47M2.315M2.413M,,,,,,,
"LUBDLUBY'S, INC.",,,,,,,
3.75115.494M—0.71−0.80−0.97——30.799M13.64%64.507K59.737K44.711K68.737K,,,,,,,
BTGDB2GOLD CORP,,,,,,,
5.005.26B7.832.860.650.634.494.253B1.052B13.64%6.18M6.29M6.37M7.088M,,,,,,,
CENTADCENTRAL GARDEN & PET COMPANY,,,,,,,
52.012.949B17.200.923.002.206.603.86B55.636M13.63%188.381K192.596K212.957K220.831K,,,,,,,
"YUMDYUM! BRANDS, INC.",,,,,,,
118.3235.248B31.736.173.802.9422.9243.666B297.901M13.62%1.647M1.583M1.544M1.661M,,,,,,,
"KTOSDKRATOS DEFENSE & SECURITY SOLUTIONS, INC.",,,,,,,
26.313.257B40.434.290.660.6747.303.339B123.79M13.60%719.72K853.923K1.129M1.221M,,,,,,,
BF.ADBROWN FORMAN INC,,,,,,,
74.2737.088B39.9110.901.901.7225.3933.346B478.695M13.58%42.217K31.908K36.471K35.547K,,,,,,,
C,,,,,,,
CRMDDCORMEDIX INC.,,,,,,,
7.78296.058M—1067.92−0.75−0.77—282.625M38.054M13.58%257.529K407.034K492.918K1.032M,,,,,,,
H,,,,,,,
"HROWDHARROW HEALTH, INC.",,,,,,,
9.12242.43M24.904.720.38−0.1356.79173.787M26.582M13.57%158.243K255.594K213.306K219.97K,,,,,,,
BKDTHE BANK OF NEW YORK MELLON CORPORATION,,,,,,,
51.8245.444B13.942.913.753.83—-19.967B876.951M13.57%3.321M4.448M4.854M5.333M,,,,,,,
W,,,,,,,
WTBADWEST BANCORPORATION,,,,,,,
29.84493.997M13.334.412.211.98—599.191M16.555M13.55%34.12K33.661K33.885K33.094K,,,,,,,
GHCDGRAHAM HOLDINGS COMPANY,,,,,,,
672.183.362B7.511.1689.0658.136.452.801B5.002M13.55%19.36K17.247K18.777K18.664K,,,,,,,
"GMEDDGLOBUS MEDICAL, INC.",,,,,,,
69.816.983B60.208.891.231.0134.535.918B100.031M13.53%353.174K471.373K466.739K473.112K,,,,,,,
"WWDWW INTERNATIONAL, INC.",,,,,,,
39.862.771B44.662.110.931.079.933.669B69.521M13.53%876.443K1.526M1.278M1.667M,,,,,,,
"LDOSDLEIDOS HOLDINGS, INC.",,,,,,,
104.4314.769B20.911.185.064.3614.5818.725B141.42M13.51%489.45K669.12K752.128K891.335K,,,,,,,
"RSGDREPUBLIC SERVICES, INC.",,,,,,,
108.5634.634B34.353.433.193.0213.4440.763B319.033M13.51%1.181M1.15M1.127M1.263M,,,,,,,
"PFEDPFIZER, INC.",,,,,,,
38.99218.254B19.924.421.991.7117.05231.808B5.598B13.51%22.962M26.996M27.395M29.961M,,,,,,,
I,,,,,,,
IKNXDIKONICS CORPORATION,,,,,,,
10.7621.282M—1.65−0.09−0.22—17.598M1.978M13.50%14.223K17.089K30.762K34.113K,,,,,,,
"CSCODCISCO SYSTEMS, INC.",,,,,,,
53.92227.23B22.444.692.422.6411.48204.71B4.214B13.49%20.598M20.551M20.997M21.258M,,,,,,,
"ZUODZUORA, INC.",,,,,,,
14.991.832B—5.81−0.62−0.62—1.838B122.21M13.47%1.011M853.407K1.099M1.239M,,,,,,,
KHCDTHE KRAFT HEINZ COMPANY,,,,,,,
43.8853.672B101.812.050.440.2910.3674.306B1.223B13.47%3.97M4.836M5.773M6.645M,,,,,,,
KDPDKEURIG DR PEPPER INC.,,,,,,,
36.8452.217B35.174.421.060.9318.0463.519B1.417B13.46%4.217M3.829M5.004M4.954M,,,,,,,
"OMCLDOMNICELL, INC.",,,,,,,
140.236.057B179.487.080.820.7444.686.004B43.19M13.45%224.935K255.942K346.619K348.21K,,,,,,,
P,,,,,,,
"PLABDPHOTRONICS, INC.",,,,,,,
13.16834.143M23.601.340.570.523.71822.176M63.385M13.45%521.585K433.988K488.706K487.532K,,,,,,,
SXTDSENSIENT TECHNOLOGIES CORPORATION,,,,,,,
89.003.763B31.302.812.852.5916.733.809B42.28M13.45%187.612K202.757K225.728K241.609K,,,,,,,
E,,,,,,,
ETHDETHAN ALLEN INTERIORS INC.,,,,,,,
30.71773.793M25.421.261.180.3410.38724.318M25.197M13.45%420.881K469.645K399.961K377.256K,,,,,,,
"MPWRDMONOLITHIC POWER SYSTEMS, INC.",,,,,,,
342.6415.677B94.2917.743.863.5089.4316.219B45.754M13.44%314.126K371.887K377.447K532.433K,,,,,,,
FTIDTECHNIPFMC PLC,,,,,,,
10.304.642B13.950.400.75−7.333.254.967B450.668M13.44%6.833M6.626M6.604M10.721M,,,,,,,
R,,,,,,,
"RZLTDREZOLUTE, INC.",,,,,,,
12.76106.575M——−2.55−3.54—27.51M8.352M13.42%279.242K120.265K65.214K46.078K,,,,,,,
TRIDTHOMSON REUTERS CORP,,,,,,,
97.1748.163B8.107.7112.192.3719.5845.012B495.655M13.41%503.542K549.436K468.271K510.329K,,,,,,,
SMPLDTHE SIMPLY GOOD FOODS COMPANY,,,,,,,
34.593.312B48.443.850.740.3522.373.434B95.763M13.41%450.382K499.014K605.097K618.245K,,,,,,,
N,,,,,,,
NWGDNATWEST GROUP PLC DR,,,,,,,
6.0134.013B—1.99−0.03−0.08—-114.688B5.78B13.40%1.417M1.56M1.528M1.624M,,,,,,,
N,,,,,,,
NTWKDNETSOL TECHNOLOGIES INC.,,,,,,,
4.9455.855M54.390.980.080.086.0036.686M11.307M13.38%38.849K773.294K402.659K288.722K,,,,,,,
SVMKDSVMK INC.,,,,,,,
20.002.913B—7.40−0.68−0.65—2.699B145.641M13.38%694.697K747.536K715.731K1.036M,,,,,,,
P,,,,,,,
"PFSWDPFSWEB, INC.",,,,,,,
8.31175.342M—0.51−0.37−0.2824.72214.655M21.1M13.37%60.911K90.908K97.419K90.831K,,,,,,,
"TENBDTENABLE HOLDINGS, INC.",,,,,,,
42.604.498B—9.48−0.27−0.42—3.5B105.591M13.36%822.001K1.046M1.012M1.152M,,,,,,,
CERNDCERNER CORPORATION,,,,,,,
79.5323.964B30.754.512.642.5215.4822.503B301.317M13.34%3.225M2.924M2.691M2.724M,,,,,,,
FTSDFORTIS INC.,,,,,,,
45.9721.578B21.422.962.142.0413.2142.447B469.4M13.34%342.803K376.501K363.965K400.765K,,,,,,,
GLDGDGOLDMINING INC.,,,,,,,
1.70254.169M——−0.06−0.06—243.272M149.511M13.33%630.507K442.926K492.067K543.431K,,,,,,,
TACDTRANSALTA CORPORATION,,,,,,,
9.552.577B—1.51−1.14−0.9614.506.706B269.883M13.29%219.325K193.963K216.108K253.314K,,,,,,,
GLWDCORNING INCORPORATED,,,,,,,
42.6036.268B33.323.191.450.5412.6847.197B851.357M13.27%4.673M4.36M4.629M4.633M,,,,,,,
M,,,,,,,
MGDMISTRAS GROUP INC,,,,,,,
11.19329.343M—0.54−0.22−3.4111.06594.441M29.432M13.26%84.257K104.613K131.153K130.739K,,,,,,,
S,,,,,,,
"SIFDSIFCO INDUSTRIES, INC.",,,,,,,
9.7058.095M6.790.551.511.595.22108.821M5.989M13.25%9.147K15.614K26.828K31.179K,,,,,,,
NDSNDNORDSON CORPORATION,,,,,,,
222.5612.933B42.775.945.304.2722.2213.279B58.109M13.24%324.224K231.834K211.694K234.147K,,,,,,,
O,,,,,,,
"OPNTDOPIANT PHARMACEUTICALS, INC.",,,,,,,
13.1156.782M—1.69−0.71−0.44—16.354M4.331M13.23%11.42K16.618K18.561K27.842K,,,,,,,
B,,,,,,,
BYFCDBROADWAY FINANCIAL CORPORATION,,,,,,,
2.7476.443M—4.06−0.15−0.02—111.081M27.899M13.22%640.175K495.005K602.903K888.068K,,,,,,,
"BLUEDBLUEBIRD BIO, INC.",,,,,,,
31.982.157B—8.57−9.38−9.95—1.211B67.448M13.20%1.069M1.046M1.338M1.926M,,,,,,,
DGDDOLLAR GENERAL CORPORATION,,,,,,,
206.0048.658B19.021.4710.9510.6212.4564.648B236.205M13.20%2.398M1.905M2.342M2.495M,,,,,,,
WPPDWPP PLC DR,,,,,,,
71.8216.871B—1.12−15.37−3.127.57—239.653M13.19%74.491K88.357K89.887K96.953K,,,,,,,
V,,,,,,,
VNTRDVENATOR MATERIALS PLC,,,,,,,
4.72506.256M—0.27−1.31−1.059.461.31B107.258M13.19%358.734K328.318K357.151K415.892K,,,,,,,
V,,,,,,,
VMARDVISION MARINE TECHNOLOGIES INC.,,,,,,,
10.3085.466M———−0.21—66.554M8.298M13.19%218.96K110.487K108.676K137.587K,,,,,,,
SCWXDSECUREWORKS CORP.,,,,,,,
16.321.364B—2.32−0.25−0.27103.17907.1M83.55M13.18%251.321K118.271K99.645K89.696K,,,,,,,
N,,,,,,,
NUVBDNUVATION BIO INC.,,,,,,,
13.062.856B——−0.56−0.99—948.224M218.65M13.17%1.172M686.363K940.677K826.664K,,,,,,,
XELDXCEL ENERGY INC.,,,,,,,
70.1237.739B24.173.092.912.7913.2459.286B538.207M13.17%2.604M2.627M3.105M3.073M,,,,,,,
F,,,,,,,
FCDFRANKLIN COVEY COMPANY,,,,,,,
31.64447.568M—2.42−0.79−0.6813.98354.584M14.037M13.16%34.689K36.377K58.792K68.354K,,,,,,,
ACNDACCENTURE PLC,,,,,,,
282.19187.689B33.524.018.597.8917.69157.001B665.115M13.15%2.189M1.8M2.008M2.02M,,,,,,,
S,,,,,,,
"SMBCDSOUTHERN MISSOURI BANCORP, INC.",,,,,,,
45.14403.286M10.083.134.452.99—197.452M8.934M13.13%15.898K16.905K15.749K16.887K,,,,,,,
USMDUNITED STATES CELLULAR CORPORATION,,,,,,,
39.203.373B15.700.842.532.633.976.702B86.052M13.13%145.975K142.931K144.798K166.54K,,,,,,,
LINXDLINX S.A. DR,,,,,,,
7.411.3B—7.93−0.08−0.0936.811.143B176.067M13.13%15.375K19.26K22.688K27.056K,,,,,,,
"PKIDPERKINELMER, INC.",,,,,,,
137.5215.415B14.553.529.596.4913.9616.391B112.091M13.13%744.819K913.335K855.171K979.232K,,,,,,,
DHRDDANAHER CORPORATION,,,,,,,
240.24171.358B38.167.186.474.8929.26183.66B713.279M13.12%3.294M2.318M2.474M2.535M,,,,,,,
NGVTDINGEVITY CORPORATION,,,,,,,
83.703.35B18.642.794.624.3710.194.167B40.029M13.11%193.745K264.481K256.111K265.055K,,,,,,,
"APDDAIR PRODUCTS AND CHEMICALS, INC.",,,,,,,
301.8166.795B36.117.328.488.5520.5164.816B221.314M13.09%812.951K850.345K895.268K1.049M,,,,,,,
M,,,,,,,
MCFDCONTANGO OIL & GAS COMPANY,,,,,,,
5.621.128B—7.49−0.45−1.2092.95857.575M200.687M13.08%1.824M1.094M954.716K1.128M,,,,,,,
GGGDGRACO INC.,,,,,,,
74.7212.66B35.827.572.161.9225.5912.269B169.435M13.08%468.821K490.338K674.784K727.582K,,,,,,,
U,,,,,,,
"USCRDU S CONCRETE, INC.",,,,,,,
73.87970.083M39.760.731.441.538.202.053B16.977M13.07%838.443K516.276K499.01K421.464K,,,,,,,
"AGRDAVANGRID, INC.",,,,,,,
53.7720.819B24.472.402.181.8812.4726.21B387.191M13.06%506.672K482.586K493.366K541.271K,,,,,,,
"BERYDBERRY GLOBAL GROUP, INC.",,,,,,,
67.179.061B13.350.765.234.147.5618.043B134.9M13.04%738.925K958.858K1.013M1.035M,,,,,,,
AFLDAFLAC INCORPORATED,,,,,,,
57.3939.006B7.391.747.816.67—43.531B679.667M13.02%3.178M3.096M3.195M3.475M,,,,,,,
"TOLDTOLL BROTHERS, INC.",,,,,,,
62.377.695B15.001.044.273.4012.0010.938B123.124M13.01%1.738M1.377M1.472M1.592M,,,,,,,
CRHDCRH PLC DR,,,,,,,
53.0940.961B36.691.491.441.428.74—783.341M13.01%381.149K476.64K521.898K535.718K,,,,,,,
F,,,,,,,
FTCVDFINTECH ACQUISITION CORP. V,,,,,,,
11.48365.114M———−0.05—382.495M34.187M12.99%522.837K577.28K2.186M1.496M,,,,,,,
"DDDDUPONT DE NEMOURS, INC.",,,,,,,
84.9745.216B14.972.715.74−4.0114.4254.013B532.142M12.99%2.69M3.163M3.016M6.602M,,,,,,,
R,,,,,,,
RDWRDRADWARE LTD.,,,,,,,
29.151.346B124.205.380.240.2060.64955.218M46.16M12.98%329.196K317.498K336.646K326.456K,,,,,,,
"NGGDNATIONAL GRID TRANSCO, PLC NATIONAL GRID PLC (NEW) DR",,,,,,,
65.2846.068B21.27—3.063.0213.59—711.072M12.98%385.587K318.188K362.257K360.432K,,,,,,,
I,,,,,,,
IRCPDIRSA PROPIEDADES COMERCIALES S.A. - AMERICAN DEPOSITORY SHARES DR,,,,,,,
11.49611.077M———9.096.641.744B31.504M12.98%31.082K24.87K21.77K20.574K,,,,,,,
D,,,,,,,
DAIODDATA I/O CORPORATION,,,,,,,
6.0150.645M—2.44−0.45−0.48—33.109M8.427M12.97%34.326K55.525K38.805K41.801K,,,,,,,
MDMACY'S INC,,,,,,,
18.645.81B—0.29−0.83−12.682626.6511.502B311.716M12.97%13.729M16.288M16.878M17.703M,,,,,,,
NCLHDNORWEGIAN CRUISE LINE HOLDINGS LTD.,,,,,,,
33.1112.248B—292.85−12.16−15.75—17.995B369.933M12.96%19.024M18.478M19.885M21.527M,,,,,,,
I,,,,,,,
IAUDISHARES GOLD TRUST SHARES OF THE ISHARES GOLD TRUST ETF,,,,,,,
36.1930.528B36.0350.841.005.436.6827.646B847.05M12.95%11.568M10.781M11.032M11.392M,,,,,,,
"AALDAMERICAN AIRLINES GROUP, INC.",,,,,,,
24.2515.554B—1.20−15.31−18.36—48.346B641.383M12.95%35.601M33.928M37.787M44.472M,,,,,,,
"TMUSDT-MOBILE US, INC.",,,,,,,
143.51178.937B59.332.352.462.659.40261.226B1.247B12.95%4.721M4.81M4.383M4.765M,,,,,,,
B,,,,,,,
BMTCDBRYN MAWR BANK CORPORATION,,,,,,,
48.82970.492M15.854.043.051.63—1.202B19.879M12.93%70.976K85.488K113.752K122.305K,,,,,,,
C,,,,,,,
CRVLDCORVEL CORP.,,,,,,,
119.452.132B46.673.922.592.5520.871.782B17.851M12.92%45.693K43.926K42.783K44.879K,,,,,,,
DUKDDUKE ENERGY CORPORATION (HOLDING COMPANY),,,,,,,
101.8678.353B58.153.241.751.7213.00142.847B769.219M12.90%2.909M3.477M3.659M3.466M,,,,,,,
MGYDMAGNOLIA OIL & GAS CORPORATION,,,,,,,
14.453.499B29.564.290.49−7.27—2.395B242.149M12.89%1.93M1.533M1.649M2.053M,,,,,,,
OUNZDVANECK MERK GOLD TRUST ETF,,,,,,,
18.49493.493M6.8861.242.682.686.70437.376M26.806M12.88%437.523K318.731K285.279K305.736K,,,,,,,
MOHDMOLINA HEALTHCARE INC,,,,,,,
245.2014.32B20.390.6912.3911.24—16.049B58.4M12.87%339.961K304.587K295.997K326.352K,,,,,,,
"QRVODQORVO, INC.",,,,,,,
183.8620.7B29.045.296.466.3216.3222.603B112.587M12.87%1.064M1.282M1.142M1.357M,,,,,,,
CHEDCHEMED CORP,,,,,,,
486.267.756B24.783.8920.6119.4823.097.426B15.95M12.86%62.613K86.947K81.737K90.094K,,,,,,,
"YUMCDYUM CHINA HOLDINGS, INC.",,,,,,,
